FID	IID	pheno_3	pheno_4	pheno_5	pheno_6	pheno_7	pheno_8	pheno_9	pheno_11	pheno_12	pheno_13	pheno_14	pheno_15	pheno_16	pheno_17	pheno_18	pheno_20	pheno_21	pheno_23	pheno_24	pheno_25	pheno_26	pheno_27	pheno_29	pheno_30	pheno_33	pheno_34	pheno_35	pheno_36	pheno_39	pheno_40	pheno_41	pheno_42	pheno_43	pheno_45	pheno_47	pheno_48	pheno_49	pheno_54	pheno_55	pheno_56	pheno_59	pheno_60	pheno_61	pheno_62	pheno_63	pheno_64	pheno_65	pheno_66	pheno_70	pheno_72
17	17	NA	126.903359682283	118.598032993372	121.385257940599	118.727261450217	116.595603783752	125.10264041249	125.704944566919	NA	123.169968638617	120.635890632614	117.527706553757	124.441905647656	121.843599711527	118.997492404467	126.338080840176	119.915607015268	119.378010479161	120.72407886048	113.941368345035	NA	118.392948211225	120.757226852666	123.284294214185	NA	122.38179029593	124.390803604927	122.891063188571	NA	124.772422161348	118.4631870941	121.436568827131	124.092078178151	120.645015586578	121.861696140423	124.873993384299	123.270003912319	121.890566359665	121.034402659911	NA	120.290407928012	NA	120.324237785323	119.284649867597	113.51144446839	116.205316737938	119.648226867703	NA	123.570165118974	121.107525000785
19	19	132.375753455463	138.277711930593	131.581835469202	132.684530248786	131.748408639114	130.942838847148	132.967609867769	132.143531545454	NA	130.632351115833	129.467884684899	133.377782304159	132.346109207565	132.409443895251	129.145978714486	138.049142813872	137.060650740837	139.351769192652	NA	140.099620618202	135.436862060005	131.609914895036	130.421861398085	140.823700093127	132.484943492447	130.35658222424	135.166997425946	NA	132.02944466383	131.408284997651	127.100813024981	128.850503558357	NA	127.15041230211	135.624231980213	129.124254314305	129.964255340076	131.308928572375	130.437849502211	136.624625757006	126.413813611751	131.054112020957	NA	131.099597939029	129.143144430199	130.785924730644	133.646824156724	135.310470307328	125.785824563975	NA
20	20	129.336299795287	134.023399785952	129.26645441122	124.571014153015	127.374560039137	131.306245172881	125.647882688483	125.599530848594	132.309164674904	128.135754147077	127.830745232498	131.047488196211	125.11553625777	NA	131.922686430682	125.116033046488	126.139591164574	125.838974814541	NA	135.851549417191	130.618516264151	130.542936918946	123.902002011704	127.14989865381	127.762415128691	129.985674373679	NA	NA	128.286875818906	127.107080205146	125.556490148417	NA	137.255672951435	NA	131.572288087068	122.047184376971	128.761944737323	124.965531106566	135.573352416937	NA	128.881179634261	131.00114053876	125.176449493338	129.274823344703	129.066103520548	NA	127.375660899222	128.028341688413	132.73736022024	132.604136939449
21	21	127.773387657234	NA	123.609685692647	125.280394223262	123.579274057402	122.945349254623	122.944530665326	124.490889562717	122.086755931403	130.297597682067	120.268096950202	120.466309956468	121.95724348963	127.800330727622	123.828929093154	125.204457253644	121.026652090768	125.789470257026	120.118586538984	127.139725907927	123.794413604577	122.005933144602	123.760571471525	123.445814604861	120.718948501231	123.659300772087	122.061321973056	NA	120.900623422525	123.100426300111	115.468036892824	125.914076215734	119.272938530591	NA	117.114387831693	120.526440859574	121.592397409102	NA	122.430947209224	125.36771655468	124.820061874795	123.10530852375	NA	123.820064670995	118.603357439207	124.658906967876	120.593215661963	127.747335400733	NA	123.252821014904
22	22	127.916451491707	123.558425476821	124.044222113139	117.615469395173	122.391073297976	126.457622133055	122.217302674717	127.592412953831	NA	120.664496552206	134.904732307601	126.537265447645	122.031895316851	121.03396192117	120.443711348039	NA	NA	NA	NA	NA	126.577090804063	128.033005140088	124.529850376415	NA	124.010494956184	125.772662103065	126.035162273883	127.211174963077	121.128312867452	121.53985318848	124.765604256359	NA	120.259355204579	131.240161314502	121.850564290269	124.835478992447	130.76800865222	125.631817984507	127.463719481871	NA	124.000453117563	124.218764027921	126.162602955611	122.355457753592	120.574823363225	NA	122.841921300222	120.4669066606	NA	122.572951881075
23	23	NA	112.624423734527	105.517688046795	110.125400071393	NA	NA	105.549890693939	111.770386429208	109.149983931375	113.606210225438	104.490326942387	109.64551597612	107.648189453977	113.76075325108	111.434015438744	114.419197616284	NA	106.044681336748	103.936853904012	109.293236540709	NA	117.124892590942	105.544406004744	116.37366612223	107.29980507008	107.841925657651	109.952498242214	108.141246216226	115.816749073166	112.169198266296	109.940875643299	108.958628627056	111.789656540902	107.939929661097	106.569245275639	NA	106.917399293967	111.290330171607	109.530438441444	NA	104.459704200569	114.836134640721	109.858805428131	110.782322770446	110.70946384409	110.821224821001	NA	106.415628420426	109.663521275189	113.303462618278
24	24	113.051789518479	115.002064218806	114.034517199964	113.219458256781	114.967000542311	117.620639845594	113.42070441649	118.097896114361	NA	115.837200603041	114.998708836199	121.423370009982	116.184399614281	117.691720226575	114.539413485433	112.785753041094	NA	109.595961631937	113.517696116379	115.167801525639	NA	NA	118.886952265822	NA	118.513589664262	110.000505375644	NA	114.623352945771	116.553688213552	119.708462751682	119.250836817637	116.409013032474	NA	NA	115.157152053389	112.410316565191	116.173424924949	112.263644234575	NA	NA	111.594199481625	121.164559322607	NA	119.619201442582	116.073799613759	118.939161040126	123.345816592129	116.359566157582	NA	118.230159860918
25	25	117.933228022741	119.904598230129	118.888101833659	122.602390767871	115.027716335272	125.265693881701	114.698704022402	124.432981296696	118.244441527343	117.694312275957	115.283860899465	118.501296872285	119.020050609219	117.717395422444	114.936781816832	118.626354079951	114.427533944387	115.374070999987	116.978893700436	117.866013702121	119.736596701304	120.74427184074	115.271499910857	NA	116.413865044228	123.384863344075	118.149133576782	119.895302187521	119.740021393212	117.607632489951	120.907361683097	123.213356982103	120.475114648708	124.061186846611	119.411463482459	121.564774752627	117.892327643752	NA	121.384848022209	118.228066580899	NA	122.762207583824	117.016561071176	NA	NA	NA	119.426276604304	113.832490523399	118.370194110807	124.08475586151
26	26	NA	113.958614454553	107.935932953182	105.591238541376	107.218188220047	112.775344184095	108.4757413809	106.650733707396	111.079893861195	118.98520629801	NA	105.213225407195	109.674954808216	115.525981712295	NA	113.668107583119	110.338451007931	112.013854387228	108.162420826598	NA	106.213932690028	109.363923820944	110.604927430995	106.061766137559	111.86323222815	111.073750408725	108.127773543488	NA	NA	106.463394562225	110.998423521915	113.095778906296	108.712961159518	110.249129362063	111.248705327479	107.808295459735	110.74830633492	107.097628702144	104.176325538669	110.097825648892	109.76787413719	110.685608484897	110.741831990552	NA	103.595568227638	106.515007409688	NA	106.805332027987	105.958711865021	107.738430468748
28	28	112.136668990223	110.851301897383	115.410590382072	109.447206975105	106.891341496184	NA	115.619542425602	120.526809576303	NA	112.414044603733	112.33374651096	115.011151343895	116.146527987051	115.236891798975	114.867504971838	112.573502206862	NA	117.130303525664	113.331433444699	108.766670010102	NA	107.470005210089	109.92405529206	111.658162304157	117.172241722379	114.120492769698	116.758871640135	112.441705176418	114.24591136539	115.491402915835	114.97911132683	115.655226282151	NA	112.316269580358	110.272509424978	115.931699647326	114.400080833078	112.567243254859	116.417422274208	NA	112.643377195691	121.496581586929	118.597953573537	109.995281147577	NA	116.399484307097	117.148918523508	117.005414729106	112.747520717124	117.107552759189
29	29	108.007792364493	115.826075117724	117.08796481142	112.640559115544	115.156292590023	107.704662568182	110.167626101081	114.803371001922	112.662685159574	107.56197535211	110.598641865357	112.63044947113	114.967890516115	115.557824310206	111.935595553787	NA	113.990690992613	115.935418036916	120.996165805911	NA	106.811935368548	108.313011558282	114.229453783712	112.602523820927	111.324074233888	114.738388253237	121.735058857993	115.698747330687	114.597111605874	115.279631547464	NA	113.742149841232	112.94261686914	108.130133426641	113.080407555079	119.406176847295	110.246669490288	110.155043032845	115.091938403786	115.76042681826	113.990935700152	NA	117.974179608939	108.749646198648	112.825453794247	113.742088922654	115.47222055247	118.082272963906	117.359091619593	113.533062551252
31	31	110.621573876874	111.994716358713	115.604575069084	108.435979844647	105.66656884539	108.81708933953	110.089567428374	110.698386701603	NA	112.890906893788	110.969450854237	111.751807800705	108.949283360744	109.411572548872	NA	NA	108.661063867805	107.319394906307	107.528251546685	NA	106.645426725265	107.650450578573	112.818245252179	114.326274080661	112.471607009183	109.487373507837	107.843702156927	114.103368364474	114.098839955756	108.143548748244	111.085832174795	119.114995771123	113.316606943115	NA	107.558213243992	110.338017704488	112.256373984199	109.319580836776	113.481299464701	NA	111.105465346956	105.786892592842	109.58805039407	111.720909723924	113.809898948608	107.468202836035	106.047658456739	108.71002686373	105.98076158087	109.408465936792
32	32	120.595040812539	122.293148433556	129.191179373694	124.185671301422	120.604952398189	118.144112781317	123.0767846888	123.500499458225	124.168450999751	126.97825699737	122.719419357528	NA	NA	121.391072666237	123.0964252615	125.605233739989	115.113459763834	NA	123.713083211582	122.256821815285	130.107368472364	129.730019613451	124.234904504665	123.031017112488	124.157913332421	112.833043277852	NA	121.945399188129	118.211391868636	119.49051898367	NA	NA	129.956137402784	119.631602763494	120.327735931064	NA	NA	122.411273425149	NA	NA	125.057155914844	NA	121.475238425967	NA	124.258907137955	NA	125.325013957225	121.687577103992	117.506929223906	117.784785148826
33	33	115.413957366543	114.299095229226	112.114235596451	123.09872523698	116.501933837041	116.693339132488	118.644032243144	121.483056710372	121.565423800569	124.969711970316	120.216533927911	NA	NA	115.792967890887	NA	120.974115750273	116.006944583904	118.430062155053	118.304550923739	121.533472124373	NA	115.280372434006	116.697940543037	NA	118.739617272703	121.452617764291	120.081207620759	NA	118.713664222263	119.848434506209	117.09608363742	124.186558453963	NA	119.688604735887	112.064564594192	123.140014365718	120.450727226141	111.507395947027	113.26525300451	NA	NA	119.240810361557	119.743524088263	114.56171033294	117.851470465556	121.903736828708	117.058612930314	NA	NA	115.432580453001
34	34	120.707998663176	NA	127.010482500152	115.677677908472	117.028556718525	116.739147589407	119.315361041227	120.000320688021	115.888153605618	113.737731457667	122.155187955966	NA	NA	114.177772751983	122.46429386086	119.517195505893	124.694486728153	117.340613890373	112.167530330729	117.883890624398	117.123304632318	119.539724287029	116.992364516886	119.838402574054	117.716945865891	NA	113.897349776802	115.093373113098	114.928459575909	113.473232363614	119.309669937964	NA	114.420915155722	118.360691238771	120.886038614075	116.574352152033	119.339062983407	119.059188662428	117.242816704199	NA	120.483585759062	121.272225414601	114.023532399197	112.623928339818	NA	116.901497316159	112.92934302508	116.617304253086	111.406354194284	120.190095802954
35	35	128.013132228507	125.821995601257	121.443374795285	124.811588388465	126.855461444632	127.755848517046	127.427553124029	NA	128.625860189973	130.640048591032	122.711966790766	123.778189447487	NA	120.211802940433	119.892875725556	126.98132493782	128.380508102834	128.129851610909	130.500927099421	122.74425010511	127.193338185381	NA	130.242594070227	130.955165558424	119.483456240036	126.983593138238	122.947043808779	NA	123.366232806132	123.690782231095	126.998964745486	122.673280413844	121.702741100667	125.01950142064	122.847337505667	124.609792550933	123.572321049483	129.789435679942	123.841679560043	NA	124.524555516779	124.973163544342	124.489963472869	122.358165419234	NA	120.326406333405	126.695718635829	127.501014069663	122.386363086703	125.720881712532
36	36	122.014915938349	124.232982260578	120.747286536002	125.344234554357	117.121164054053	125.336579254644	121.166766412165	118.712994642875	120.420998449631	123.207864703569	124.318263853669	NA	124.375363522658	118.195639296595	119.156872294501	119.810750941199	120.658153201382	126.439635342502	NA	116.091622625757	123.067674892014	118.480174156678	116.852356105023	120.787103138957	119.013994927515	117.493192815285	NA	126.721515547138	117.819023749321	121.032995203199	NA	NA	NA	122.022177477154	125.777765094266	118.936150741465	121.668636062993	114.563834070753	119.026837870899	125.396922036411	120.840919830883	122.698609881344	123.300458969931	NA	118.023218574308	117.281134213921	NA	120.28156343038	117.593529579468	120.457067419773
37	37	130.817791803145	129.294159508857	130.002345503664	133.382119535639	124.664067147582	126.53675201208	131.492033959797	NA	NA	131.885877680363	128.843036506251	129.476749215294	133.524512050565	138.807858769593	131.868002651701	131.057054775022	129.2001837213	131.546698821927	129.9967721298	130.124610502121	136.924351030779	130.957247483817	NA	126.901370805865	134.540581864009	128.265949978489	NA	135.629012445598	127.749954578052	128.998975601358	132.871274038326	NA	130.068963136779	131.859493099934	126.95157261517	126.054173984134	130.820530008033	127.587829784556	135.333458458411	132.567760303391	132.497927796418	127.647935640537	130.323535478194	130.471922681085	135.904886842136	NA	125.747785425611	131.015157785559	NA	132.397655869615
39	39	124.408980093101	122.191626872852	NA	120.060156664535	122.557679833712	124.847095945614	128.48209559094	125.520329571955	NA	117.582090238367	123.225366217564	118.867419391488	124.646332276528	NA	118.943545610433	121.243045129514	119.635428990361	122.005687679234	122.403166472245	123.398495400015	117.599269157954	124.091692325482	119.139241055167	124.816751820701	120.455023504891	130.303638022025	120.636778804375	123.638605910843	118.802281458638	112.674901671717	122.325195869949	124.403904327557	126.825938599425	127.215840847969	126.235375542542	126.618795508901	123.491765050862	NA	124.789164386826	124.212723636965	123.045694266675	127.163393526895	126.100447464079	126.380057620742	112.663331611901	NA	124.874219903813	123.14894781542	NA	120.847386919897
40	40	127.406005217304	124.228442507034	125.363011340891	NA	130.1402243943	NA	NA	126.317853424857	130.642379516789	125.976523573892	125.902685623786	126.57583910262	126.236856845443	128.045004151603	128.715181138631	127.468376949027	127.94129578146	NA	131.68264435815	126.636033406115	126.237915334742	125.733488955345	124.866765936911	125.83383441177	126.841307970476	130.427964673069	127.152768526476	NA	128.762918881831	127.735397341498	126.772952500039	NA	125.721372476643	123.837915992237	130.106664183062	128.988215719446	126.511056555147	131.539316100362	128.610614704867	NA	128.470854386323	128.555820857983	NA	131.846509905411	122.859871489447	123.453524506746	127.677732567305	128.546965225618	130.1211373755	132.473182609601
41	41	125.302059933455	122.248103069223	118.55037704235	123.261368102477	123.288428649366	126.117624213883	122.500816715469	122.890181944434	127.530512420779	123.59760109809	123.41428564844	124.561490738975	124.656765484053	119.812751222304	128.023558204329	128.897102374474	123.363772700376	132.120985024189	130.652457659854	123.861404170338	NA	NA	125.536509632733	129.247933906136	125.316979324646	NA	121.563370911279	122.789091603516	NA	122.3279365542	121.964195381105	124.074370567886	NA	130.581297565576	124.229484228323	128.350923702921	128.566173207202	122.277025684463	120.61203933437	123.97069958695	125.793926591253	NA	128.336533018503	123.168448062952	124.545299952671	122.372841382492	125.397191438641	NA	127.102357326313	125.173120856248
42	42	NA	116.362308444481	NA	113.271401455511	118.402339073681	112.731589000913	NA	110.576289975724	113.905169643352	117.628512135536	115.655428982639	113.721261932735	NA	118.21270629172	112.747260511431	116.134975922089	121.535382230331	NA	116.155728821366	117.349436336428	NA	121.896049998323	119.09050558656	115.626218356938	NA	118.314073852463	115.749216649298	114.608975334142	117.086054417627	117.307197966401	NA	117.525690400819	116.174677570645	114.63139454988	107.314970383004	NA	117.338206051552	115.058975846501	118.612381218632	NA	112.778279229947	111.04629144949	NA	111.331966966717	114.576933378918	117.027497972344	114.1030468478	NA	116.287985027129	111.240882974997
43	43	127.019231499995	NA	124.934617465886	126.903867000287	130.149695013897	125.450175252119	129.558304937202	127.585863664832	130.67420791817	130.386425945024	123.437069458037	129.605711407637	127.896885843149	130.160267385593	124.203795102023	127.770096643419	NA	124.847497875721	125.22664964677	127.46849889679	130.038961615536	130.064450374746	130.006248781175	123.981122180698	132.022343648097	129.189849906286	131.115634779996	130.245870661671	NA	131.366449418812	133.538741433118	131.034786055861	128.56441553592	132.565802824756	121.213987861424	129.671081175196	129.534998642597	127.337914191188	130.253829973338	123.713453457316	131.59008815248	128.37000259733	131.165457545486	122.585583666607	123.510762608279	128.022175865927	126.900107211968	128.304866335572	128.992263827799	129.183174016891
44	44	NA	112.641297026337	116.687222326824	111.648074229648	114.172324951712	NA	120.397305761739	121.294468262202	113.781660764659	112.771667632779	116.130000284372	115.883489181184	117.878341417432	117.584272205886	112.335477413955	116.103604807535	NA	118.258884644453	116.685852315673	118.509847209198	NA	119.008317240132	111.923551930027	120.185017381956	120.081863804958	113.711397817041	124.528011675024	119.854703150539	119.228512946776	119.182422289531	116.057527943486	116.044758910011	NA	NA	117.897742567533	NA	119.246913358225	113.055734079808	115.832518834301	NA	112.771457843008	113.990630028322	114.5365575482	118.135356215908	121.4484169004	113.512023630617	115.19545134614	118.255406078084	109.520832588002	118.976296057713
45	45	110.649558984801	112.685095808267	103.507869736172	108.697930897953	112.384494040607	108.708742673133	114.587461047058	109.938264303256	109.753267944114	114.010721986848	111.499817016014	113.927117712684	108.919264122335	110.964241527132	109.91588747243	114.888010499789	114.973062733531	111.363617751389	107.108169426706	NA	109.965350957756	108.856215376643	116.425634376503	111.063726271196	NA	115.472713425386	NA	114.970101484219	112.846992409334	123.356686997958	106.705423870649	120.715775893076	117.90592504742	117.184636125195	114.93950096239	NA	111.783037355632	107.492229375439	NA	112.040351935781	NA	110.057356327561	113.773486101129	107.15675858016	111.22863510179	114.781289281066	110.459279435554	NA	114.532677880601	111.590643882068
46	46	121.738357792958	113.223390239123	117.61605723124	109.811434508497	112.758529891834	107.399342704868	113.07329152758	106.793924385652	109.952206636795	107.969189309768	112.093905859028	114.032692347951	111.659329684156	112.557324955616	119.004274692954	NA	113.925280770859	105.109664266653	104.212621836576	116.564970703822	113.02196223104	118.25041648541	108.435060401548	104.882873020325	109.045225354486	112.927255497022	112.868122632188	NA	117.105148875681	112.430883299611	NA	NA	111.929006025423	115.672888710516	112.133392313208	115.555561150984	109.664670903074	114.935940123306	112.615088832536	NA	109.352168528038	NA	109.034606589541	112.103634408181	110.478167948896	NA	NA	111.362300734401	117.655175940068	112.34050342608
47	47	111.949811839597	109.090563652916	116.886187279401	124.303576864783	NA	113.764917677504	116.604923760187	118.155768419494	123.880661775838	112.32091222381	115.654245233622	119.124845925216	119.452485876565	121.222668346659	115.685379412563	113.608966958518	117.50328597748	NA	122.162194130491	118.476243453657	118.921834558818	NA	115.903668940615	119.191854840739	113.66853341707	118.806624759463	NA	NA	NA	112.592745492978	NA	120.914254984553	118.870140975807	NA	120.632561762471	NA	116.561651259438	116.77723388199	120.555108210305	118.511575892291	116.953053628244	120.17415119055	118.797549014785	118.547832327908	NA	120.816720087979	126.832309211129	118.646501061671	NA	119.792795462468
49	49	NA	115.795523355716	NA	112.603335539378	117.621250442245	117.184334983436	119.563126820074	122.49800106391	113.627729233913	116.814365591921	121.535506319087	NA	118.655773867094	NA	114.877888769809	118.104471632271	123.495585358056	117.689270316035	114.469991675818	110.516585344728	122.432820108993	112.547112604767	118.451751896378	110.001137973292	120.798007097408	116.271166374694	117.379188656595	NA	115.880884387613	120.455045581329	119.403707455743	NA	120.376449551907	117.711464890811	NA	NA	NA	118.062782212301	NA	119.524753017619	116.984192654992	123.569060260567	115.226822283536	118.086005615719	116.579373924775	115.274712828055	116.375900856444	118.178338312467	NA	116.200810530283
51	51	114.553582901148	104.527489194454	108.120439746325	NA	105.63814057601	111.072649730565	108.533078638921	107.94981120319	104.526891506575	108.873982883361	107.033036507622	NA	107.05232155752	104.40525449784	111.906147129783	109.242408044932	113.772910558149	113.752660547938	110.455341318781	NA	113.421322588852	98.4022228046044	NA	114.142631374596	111.07029020471	107.071448222135	106.399790693193	108.826057941625	110.986360867101	114.153507333301	NA	110.532226608193	110.362669800062	110.739813585923	113.014254081575	108.217226795797	106.261541736059	112.136729742341	106.094686087715	103.697668956496	105.437581379467	105.434338551356	111.165023188848	107.643458944486	112.188657438987	102.634316095906	107.804777860979	111.149282828111	114.096312242837	106.296828190576
52	52	122.741090425391	116.247391285784	122.910095887434	119.480156183811	117.216590783131	119.8826293139	118.221862172303	117.675113580882	114.251455194421	120.027582167953	116.508586496405	113.38541896375	120.316492183236	123.101578924318	117.110039730037	117.414312507465	113.807091830725	117.077262891611	118.484840244129	NA	120.200433044385	116.215316049796	123.365909596936	123.574400615811	117.30516636668	124.756541902356	NA	115.749844907203	118.272905469484	114.973018308767	121.921245651992	115.341729733078	NA	117.76406722871	120.426548727144	123.092420079832	117.130036704419	120.540824180696	115.547038340449	116.762657409283	NA	118.030698480174	116.014719278682	115.67681509193	117.80938060193	117.715936082758	117.670429380698	126.462840185778	114.508176427522	118.080227930929
53	53	119.359656654746	113.265542335185	109.470962631027	113.215167223375	120.2907028962	115.222962467701	121.650745592429	121.483142459172	116.214673260803	118.210343502209	111.471308544306	109.662818405845	118.528939729794	109.432947055992	NA	NA	112.662650094408	NA	113.265285675077	NA	110.271403426014	113.669793661894	113.355229941446	NA	110.427648449817	114.243973661279	118.843541220798	119.739146638	115.345546959006	116.160192249638	113.284366174185	NA	116.471531774549	NA	114.755978836535	117.50839769084	119.306731330826	113.239416166702	119.171095803306	119.986688787306	117.564956181591	121.746564258344	NA	NA	109.536185857585	114.597654674079	114.071394001119	113.376129997341	NA	117.102547359994
